participant_id,5,10,15,20,25,30,35,40,45,50
1211910,2,4,5,11,6,0,0,0,0,0
1316438,2,1,1,1,3,0,0,0,0,0
1332972,2,0,1,2,5,1,0,0,0,0
1406813,5,6,6,0,0,0,0,0,0,0
1436601,8,7,8,13,12,0,0,0,0,0
1460169,2,2,3,3,2,0,0,0,0,0
1504906,3,1,0,2,0,0,0,0,0,0
1506576,0,0,0,0,0,0,0,0,0,0
1512159,0,1,1,3,0,0,0,0,0,0
1514405,2,1,3,5,2,1,0,0,0,0
1517805,0,2,1,1,4,0,0,0,0,0
1522976,0,0,0,0,0,0,0,0,0,0
1524902,2,3,7,8,11,1,0,0,0,0
1527644,1,0,0,1,0,0,0,0,0,0
1529920,14,10,3,1,5,0,0,0,0,0
1530539,2,5,2,3,1,0,0,0,0,0
1535741,1,0,0,1,1,0,0,0,0,0
1556744,4,5,11,11,13,4,0,0,0,0
1606678,2,1,4,3,2,0,0,0,0,0
1621347,4,4,7,5,10,1,0,0,0,0
1627781,1,2,2,7,8,4,0,0,0,0
1629216,1,1,4,2,1,0,0,0,0,0
1641638,0,1,0,1,1,0,0,0,0,0
1642612,0,1,2,0,0,0,0,0,0,0
1643644,0,1,4,1,2,0,0,0,0,0
C1214313,1,0,2,4,1,0,0,0,0,0
C1228296,1,1,2,3,5,0,0,0,0,0
C1234417,0,0,1,0,0,0,0,0,0,0
C1320593,0,2,7,6,8,0,0,0,0,0
C1406813,1,1,2,3,5,0,0,0,0,0
C1414041,5,17,12,8,17,0,0,0,0,0
C1431852,0,1,1,0,1,0,0,0,0,0
C1436560,1,1,1,1,2,0,0,0,0,0
C1442429,0,1,0,0,0,0,0,0,0,0
C1504038,0,1,1,3,0,0,0,0,0,0
C1512051,9,14,6,7,9,1,0,0,0,0
C1512071,0,1,2,2,3,0,0,0,0,0
C1515382,1,2,3,0,2,0,0,0,0,0
C1516633,0,0,3,3,2,0,0,0,0,0
C1518993,4,3,8,8,8,0,0,0,0,0
C1519331,3,4,6,7,5,1,0,0,0,0
C1519725,1,2,0,1,2,0,0,0,0,0
C1524781,2,0,1,1,4,0,0,0,0,0
C1525463,3,1,3,5,5,0,0,0,0,0
C1526103,2,1,0,5,3,0,0,0,0,0
C1528257,2,2,2,1,0,0,0,0,0,0
C1543535,0,2,2,3,1,0,0,0,0,0
C1556488,2,9,4,3,3,2,0,0,0,0
C1600521,0,1,1,5,4,0,0,0,0,0
C1604472,1,1,0,4,5,0,0,0,0,0
C1606273,4,8,22,15,30,4,0,0,0,0
C1607048,3,2,7,6,4,4,0,0,0,0
C1608169,2,1,1,1,1,0,0,0,0,0
C1609356,3,3,8,3,5,2,0,0,0,0
C1614245,3,0,2,4,2,0,0,0,0,0
C1615465,4,1,3,8,7,0,0,0,0,0
C1618050,5,7,7,10,7,0,0,0,0,0
C1618374,2,6,6,8,12,2,0,0,0,0
C1618592,3,6,6,10,4,2,0,0,0,0
C1620200,0,3,7,7,8,0,0,0,0,0
C1621027,0,2,2,7,3,0,0,0,0,0
C1622201,0,1,1,1,0,0,0,0,0,0
C1626643,1,1,0,2,1,0,0,0,0,0
C1626757,1,2,1,3,6,1,0,0,0,0
C1632205,2,2,6,5,3,0,0,0,0,0
C1633118,3,2,0,3,5,0,0,0,0,0
C1634963,3,3,6,5,7,0,0,0,0,0
C1640091,7,4,2,1,1,0,0,0,0,0
C1642268,1,0,2,5,7,0,0,0,0,0
C1644135,4,4,5,8,3,0,0,0,0,0
C1645251,0,0,3,3,4,0,0,0,0,0
C1645897,1,5,6,8,12,2,0,0,0,0
C1646522,0,0,0,2,6,0,0,0,0,0
C1659767,10,16,10,17,9,0,0,0,0,0
C1661087,2,3,0,2,1,0,0,0,0,0
