participant_id,5 slowest 10%,5 fastest 10%,10 slowest 10%,10 fastest 10%,15 slowest 10%,15 fastest 10%,20 slowest 10%,20 fastest 10%,25 slowest 10%,25 fastest 10%
c1210910,411.0,292.0,688.5,295.0,380.5,237.0,444.5,275.0,391.0,296.0
c1214313,331.5,255.0,342.0,255.0,445.5,223.0,311.5,264.0,354.0,251.0
c1219715,526.0,386.0,553.5,396.0,670.5,407.0,637.5,433.0,627.5,431.0
c1316438,338.5,240.0,413.0,281.0,474.5,278.0,641.5,277.0,348.0,277.0
c1332603,872.0,517.0,856.0,572.0,776.0,494.0,732.0,570.0,831.5,636.0
c1332972,518.0,288.0,399.5,275.0,481.5,310.0,376.0,278.0,407.5,327.0
c1406813,469.5,337.0,639.0,389.0,543.5,389.0,459.5,384.0,487.5,359.0
c1414041,426.0,260.0,540.5,273.0,373.0,257.0,467.0,279.0,411.0,250.0
c1422310,526.0,404.0,592.5,411.0,509.5,401.0,610.0,424.0,501.5,419.0
c1428155,462.0,374.0,550.5,383.0,636.0,407.0,436.5,434.0,725.0,371.0
c1429501,537.5,429.0,656.5,385.0,553.5,432.0,506.0,390.0,574.0,432.0
c1436560,407.5,293.0,462.5,303.0,402.0,283.0,385.5,284.0,456.0,303.0
c1436601,512.5,289.0,504.5,286.0,682.5,312.0,682.5,301.0,730.0,293.0
c1442429,364.0,235.5,310.5,242.0,306.0,245.0,344.0,266.0,346.0,251.0
c1462216,361.333333333,254.0,369.0,276.0,430.0,223.0,330.5,242.0,342.0,244.0
c1476575,576.5,401.0,472.666666667,390.0,608.0,449.0,541.5,419.0,585.0,425.0
c1500258,500.5,384.0,532.5,389.0,547.5,381.0,555.0,354.0,542.0,400.0
c1510407,451.0,363.0,570.5,366.0,713.5,354.0,516.5,396.0,563.0,437.0
c1512071,424.5,236.0,396.5,253.0,352.0,255.0,391.5,254.0,391.5,315.0
c1514333,540.5,371.0,821.0,422.0,600.5,404.0,588.0,354.0,524.0,363.0
c1520925,685.0,438.0,665.0,444.0,657.0,421.0,736.0,395.0,588.0,418.0
c1528148,567.0,424.0,592.5,399.0,548.0,482.0,609.0,472.0,663.5,505.0
c1530539,437.5,244.0,312.5,241.0,342.5,220.0,501.0,247.0,274.0,218.0
c1530965,333.5,283.0,337.5,268.0,423.5,266.0,404.0,300.0,336.0,269.0
c1574067,528.5,396.0,472.5,378.0,527.0,414.0,520.0,409.0,507.5,414.0
